model,bound_state,n_bound,relaxation_multiples_c,gamma,mean_error_fraction_after_c,mean_progress_fraction_after_c,prob_SOS_dwell_survives_c_relaxations,mean_residual_fraction_at_unbinding,mean_completed_fraction_at_unbinding
Model3,GDP,4,3.0,0.0085,0.049787068367863944,0.950212931632136,5.243178248799746e-154,0.991571641051066,0.008428358948934062
Model3,GDP,4,5.0,0.0085,0.006737946999085467,0.9932620530009145,3.409241010067853e-256,0.991571641051066,0.008428358948934062
Model3,GDP,5,1.0,0.0105,0.36787944117144233,0.6321205588285577,4.351317477581228e-42,0.9896091044037606,0.010390895596239487
Model3,GDP,5,2.0,0.0105,0.1353352832366127,0.8646647167633873,1.8933963790703856e-83,0.9896091044037606,0.010390895596239487
Model3,GDP,5,3.0,0.0105,0.049787068367863944,0.950212931632136,8.238768756237629e-125,0.9896091044037606,0.010390895596239487
Model3,GDP,5,5.0,0.0105,0.006737946999085467,0.9932620530009145,1.5599254931058998e-207,0.9896091044037606,0.010390895596239487
Model3,GTP,1,1.0,0.025,0.36787944117144233,0.6321205588285577,4.248354255291589e-18,0.9756097560975611,0.02439024390243903
Model3,GTP,1,2.0,0.025,0.1353352832366127,0.8646647167633873,1.8048513878454153e-35,0.9756097560975611,0.02439024390243903
Model3,GTP,1,3.0,0.025,0.049787068367863944,0.950212931632136,7.667648073722e-53,0.9756097560975611,0.02439024390243903
Model3,GTP,1,5.0,0.025,0.006737946999085467,0.9932620530009145,1.3838965267367376e-87,0.9756097560975611,0.02439024390243903
Model3,GTP,2,1.0,0.045,0.36787944117144233,0.6321205588285577,2.233631436203166e-10,0.9569377990430623,0.0430622009569378
Model3,GTP,2,2.0,0.045,0.1353352832366127,0.8646647167633873,4.9891093927950183e-20,0.9569377990430623,0.0430622009569378
Model3,GTP,2,3.0,0.045,0.049787068367863944,0.950212931632136,1.1143831578403364e-29,0.9569377990430623,0.0430622009569378
Model3,GTP,2,5.0,0.045,0.006737946999085467,0.9932620530009145,5.559779479953796e-49,0.9569377990430623,0.0430622009569378
Model3,GTP,3,1.0,0.065,0.36787944117144233,0.6321205588285577,2.0823150224148703e-07,0.9389671361502347,0.061032863849765265
Model3,GTP,3,2.0,0.065,0.1353352832366127,0.8646647167633873,4.336035852574641e-14,0.9389671361502347,0.061032863849765265
Model3,GTP,3,3.0,0.065,0.049787068367863944,0.950212931632136,9.028992593545614e-21,0.9389671361502347,0.061032863849765265
Model3,GTP,3,5.0,0.065,0.006737946999085467,0.9932620530009145,3.915003559824468e-34,0.9389671361502347,0.061032863849765265
Model3,GTP,4,1.0,0.085,0.36787944117144233,0.6321205588285577,7.77415426242197e-06,0.9216589861751152,0.0783410138248848
Model3,GTP,4,2.0,0.085,0.1353352832366127,0.8646647167633873,6.043747449593367e-11,0.9216589861751152,0.0783410138248848
Model3,GTP,4,3.0,0.085,0.049787068367863944,0.950212931632136,4.698502499625825e-16,0.9216589861751152,0.0783410138248848
Model3,GTP,4,5.0,0.085,0.006737946999085467,0.9932620530009145,2.839656249902154e-26,0.9216589861751152,0.0783410138248848
Model3,GTP,5,1.0,0.10500000000000001,0.36787944117144233,0.6321205588285577,7.30906925794498e-05,0.9049773755656109,0.09502262443438915
Model3,GTP,5,2.0,0.10500000000000001,0.1353352832366127,0.8646647167633873,5.342249341743637e-09,0.9049773755656109,0.09502262443438915
Model3,GTP,5,3.0,0.10500000000000001,0.049787068367863944,0.950212931632136,3.9046870432015286e-13,0.9049773755656109,0.09502262443438915
Model3,GTP,5,5.0,0.10500000000000001,0.006737946999085467,0.9932620530009145,2.085981178625835e-21,0.9049773755656109,0.09502262443438915
